,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
102,29.17289,-97.54256,4.2177E+13,Gulf Coast,Gonzales,BURCHERS-H-G 1,Conventional Hydrocarbon,,1990-08-06,Edwards,Cretaceous,11933,12129,,,6.1,127000,330,13000,76000,,1100,32000,1,140,
101,29.55707,-97.7893,4.21873E+13,Gulf Coast,Guadalupe,DENMAN C-30,Conventional Hydrocarbon,,1990-08-02,Edwards,Cretaceous,2582,2584,,,6.5,25200,500,1900,14000,,580,6500,1700,260,
453,30.43202,-93.80684,4.23513E+13,Gulf Coast,Newton,BASS HANK 1052,Conventional Hydrocarbon,,1986-06-02,Wilcox,Paleogene,11574,11588,,,7.32,24100,1300,85,11000,,13,6900,12,,
455,30.41652,-93.80884,4.23513E+13,Gulf Coast,Newton,HANKAMER SEC 31,Conventional Hydrocarbon,,1986-06-02,Wilcox,Paleogene,11622,11680,,,6.88,17165,1350,70,9000,,11,6500,72,,
442,30.43899,-93.84805,4.23513E+13,Gulf Coast,Newton,HANKAMER1 #3,Conventional Hydrocarbon,,1986-01-16,Wilcox,Paleogene,11797,11809,,,6.75,22300,1110,130,13000,,18,8900,57,,
448,30.43202,-93.80684,4.23513E+13,Gulf Coast,Newton,HANKAMER 1052 #1,Conventional Hydrocarbon,,1986-01-15,Wilcox,Paleogene,11574,11588,,,7.24,25599,1160,180,14000,,23,10000,48,,
445,30.42018,-93.83689,4.23513E+13,Gulf Coast,Newton,FOLEY ESTATE #3,Conventional Hydrocarbon,,1986-01-14,Wilcox,Paleogene,11560,11621,,,6.9,16000,1140,80,9300,,9.5,6500,51,,
447,30.44441,-93.82139,4.23513E+13,Gulf Coast,Newton,FOLEY SEC. 28 #1,Conventional Hydrocarbon,,1986-01-14,Wilcox,Paleogene,11568,11580,,,7.02,24500,1100,160,14000,,23,9700,60,,
451,30.42703,-93.83681,4.23513E+13,Gulf Coast,Newton,HANKAMER #2X,Conventional Hydrocarbon,,1986-01-14,Wilcox,Paleogene,11520,11595,,,6.85,19500,1020,100,12000,,13,7300,68,,
444,30.44026,-93.79231,4.23513E+13,Gulf Coast,Newton,HANKAMER 3 #1,Conventional Hydrocarbon,,1986-01-13,Wilcox,Paleogene,11596,11622,,,7.21,27500,994,240,17000,,32,11000,52,,
450,30.44147,-93.83491,4.23513E+13,Gulf Coast,Newton,HANKAMER LEASE #1,Conventional Hydrocarbon,,1986-01-13,Wilcox,Paleogene,11611,12408,,,7.86,20000,1110,180,12000,,22,7900,26,,
452,30.45431,-93.80706,4.23513E+13,Gulf Coast,Newton,BEVIL-RICHARDSON S26 #1,Conventional Hydrocarbon,,1986-01-13,Wilcox,Paleogene,11587,11600,,,7.43,28500,923,270,18000,,34,11000,47,,
443,30.42291,-93.82553,4.23513E+13,Gulf Coast,Newton,HANKAMER 195 #1,Conventional Hydrocarbon,,1985-01-15,Wilcox,Paleogene,11617,11666,,,6.69,16000,1240,71,7800,,9.3,5900,42,,
446,30.41882,-93.81749,4.23513E+13,Gulf Coast,Newton,FOLEY ESTATE #2,Conventional Hydrocarbon,,1985-01-15,Wilcox,Paleogene,11718,11770,,,6.59,16000,1020,85,9300,,11,6300,8,,
449,30.429,-93.82543,4.23513E+13,Gulf Coast,Newton,HANKAMER 195 #2,Conventional Hydrocarbon,,1985-01-15,Wilcox,Paleogene,11544,11620,,,6.66,19000,852,110,11000,,14,7200,61,,
557,27.92669,-93.94492,4.27094E+13,Gulf Coast,High Island South,A-14B,Conventional Hydrocarbon,,1983-05-11,Mp4 Lower,Unknown,7984,8164,,,7.6,63000,,1130,37700,,363,22300,14.8,<0.01,
558,27.92474,-93.94482,4.27094E+13,Gulf Coast,High Island South,A-12A,Conventional Hydrocarbon,,1983-05-11,Mp5,Unknown,8246,8394,,,6.97,88000,,2010,53800,,873,30400,15.3,0.08,
559,27.95542,-94.02624,4.27094E+13,Gulf Coast,High Island South,A-4-S-1,Conventional Hydrocarbon,,1983-05-11,P1,Unknown,13228,13272,,,6.83,91000,,2690,53300,,482,30900,11.5,<0.01,
562,27.92661,-93.94583,4.27094E+13,Gulf Coast,High Island South,A-9A,Conventional Hydrocarbon,,1983-05-10,Mp3 Lower,Unknown,9546,9595,,,7.25,159000,,3810,99000,,1270,53700,7.4,<0.01,
563,27.94738,-93.97158,4.27094E+13,Gulf Coast,High Island South,C-8A,Conventional Hydrocarbon,,1983-05-10,Mp1 Lower,Unknown,6759,6793,,,7.59,44000,,679,26200,,499,15400,9.9,0.05,
564,27.94518,-93.97274,4.27094E+13,Gulf Coast,High Island South,C-14A,Conventional Hydrocarbon,,1983-05-10,Mp1 Lower,Unknown,6588,6700,,,7.54,39000,,850,23000,,349,13300,9.9,0.04,
565,27.90416,-93.95953,4.27094E+13,Gulf Coast,High Island South,B-14A,Conventional Hydrocarbon,,1983-05-10,Mp3 Upper,Unknown,10620,10703,,,7.09,138000,,2840,84600,,1040,47700,0.5,0.08,
566,27.90378,-93.96002,4.27094E+13,Gulf Coast,High Island South,B-2A,Conventional Hydrocarbon,,1983-05-10,Mp3 Upper,Unknown,7260,7300,,,7.11,92000,,2250,56200,,1010,31800,0.4,0.09,
556,27.92661,-93.94583,4.27094E+13,Gulf Coast,High Island South,A-11A,Conventional Hydrocarbon,,1983-05-09,Mp2,Unknown,6975,6993,,,7.51,74000,,1320,44400,,788,26300,12.4,0.04,
560,27.92661,-93.94583,4.27094E+13,Gulf Coast,High Island South,A-11B,Conventional Hydrocarbon,,1983-05-09,Mp1,Unknown,6405,6446,,,7.39,80000,,1370,48400,,869,28400,9.9,0.02,
