,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
3884,32.6051,-94.1298,4.22033E+13,East Texas,Harrison,Jones #1,Conventional Hydrocarbon,,1955-08-12,Rodessa Young,Cretaceous,,,5450,1.0102,6.2,5358,61,1340,3300,,27,588.29,40,<MDL,
3917,32.5564,-94.6206,4.2203E+13,East Texas,Harrison,Hall #1,Conventional Hydrocarbon,,1955-08-12,Rodessa Young,Unknown,,,3752,1.0082,5.4,1408,13,265,800,,9,237.43,75,<MDL,
4433,32.5927,-94.6432,4.2203E+13,East Texas,Harrison,Isam #1,Conventional Hydrocarbon,,1955-08-12,Rodessa Young,Cretaceous,,,7994,1.0483,6.8,63303,169,6490,39000,,520,16956.49,144,<MDL,
7122,27.818,-96.862,,Gulf Coast,Calhoun,Bennett #16,Conventional Hydrocarbon,,1955-08-10,Frio,Unknown,5400,,,1.046,7.75,65358,242.67,1171,39591.1,,177.82,23971.18,<PQL,,
7262,28.298,-95.904,,Gulf Coast,Fort Bend,Smith # 2,Conventional Hydrocarbon,,1955-08-10,Frio First,Unknown,,,,1.09,6.9,132513,292.12,5755,81161.4,,1059.48,44002.21,<PQL,,
4503,32.578,-94.655,,East Texas,Harrison,Bussey Davis #1,Conventional Hydrocarbon,,1955-08-08,Rodessa Young,Unknown,,,,1.003,6.1,3381,223,230,1836,,22,1000,70,<MDL,
10493,32.578,-94.655,,East Texas,Harrison,Landers #1-t,Conventional Hydrocarbon,,1955-08-08,Travis Peak,Unknown,,,,,6,6288,400,520,3450,,55,1743,120,<MDL,
10515,32.578,-94.655,,East Texas,Harrison,Pitts #1,Conventional Hydrocarbon,,1955-08-08,Rodessa Young,Unknown,,,,1.0062,4.9,7886,42,700,4840,,96,2181,27,<MDL,
11099,28.4211,-98.65,4.2311E+13,Gulf Coast,Mc Mullen,1 J. C. Dilworth,Conventional Hydrocarbon,,1955-08-07,Unknown,Unknown,5856,5869,11915,,11.7,12326,,36,5840,,3,4776,870,,
12898,32.6988,-102.7135,,Permian,Gaines,Elam No. 11,Conventional Hydrocarbon,,1955-08-06,San Angelo,Unknown,5920,,,1.04,6,52468,1111.76,2912,29120,16224,521.04,,2579.2,<PQL,X
1381,31.4211,-102.5549,4.2103E+13,Permian,Crane,Barnsley C #1,Conventional Hydrocarbon,,1955-08-05,Connell,Unknown,8135,8153,,1.193,5.1,286157,104,26700,182400,,11733,64545,625,<MDL,
3310,32.0092,-102.7435,4.21351E+13,Permian,Ector,Rumsey C - 9,Conventional Hydrocarbon,,1955-08-02,000 Fslm,Unknown,8564,8582,9865,1.082,,119877,559,4320,73000,,669,41328,<MDL,<MDL,
3865,32.0092,-102.7435,4.21351E+13,Permian,Ector,Rumsey C-9,Conventional Hydrocarbon,,1955-08-02,000 Fslm,Unknown,8564,8582,9865,1.0732,7.5,104010,205,7190,63000,,1623,30356,1636,<MDL,
1002,32.5244,-101.1395,4.2335E+13,Permian,Mitchell,Dunn #1,Conventional Hydrocarbon,,1955-07-30,Pennsylvanian Pennsylvani,Unknown,7385,7674,7674,1.072,6.72,103468,117.92,3430,61956.24,,728.96,35533.91,1500.8,,
3198,32.1674,-102.7592,4.2003E+13,Permian,Andrews,Univ. 11 #2,Conventional Hydrocarbon,,1955-07-30,San Andres,Unknown,4150,4375,4375,1.058,7.5,87055,833,2440,49320,,832,29725,3906,<PQL,
11842,28.337,-98.089,,Gulf Coast,Wilson,H. W. Wiseman No. 8,Conventional Hydrocarbon,,1955-07-29,Navarro,Unknown,1384,1390,,1.0068,7.6,14261,321.17,187.26,8457.12,,106.72,5189.05,<MDL,,
1805,31.9055,-103.1517,4.2495E+13,Permian,Winkler,Lum Daugherty #8,Conventional Hydrocarbon,,1955-07-28,Yates,Unknown,2750,,2991,1.0772,6.58,109130,226.21,1193,61168.8,,7558.71,28906.66,10076.13,,
1824,31.9536,-103.1985,4.2495E+13,Permian,Winkler,Lum Daugherty #1,Conventional Hydrocarbon,,1955-07-28,Yates,Unknown,2750,,3242,1.0693,7.13,99530,318.65,1654,56886.76,,5725.03,27732.3,7213.5,,
1856,31.9078,-103.1503,4.2495E+13,Permian,Winkler,Lum Daugherty #4,Conventional Hydrocarbon,,1955-07-28,Yates,Unknown,2750,,3013,1.0374,7.26,53248,695.06,391.1,26100.98,,3913.07,13486.2,8662.29,,
7289,27.997,-96.341,,Gulf Coast,Jackson,Mauriss # 3,Conventional Hydrocarbon,,1955-07-27,Rogers A 1,Unknown,,,,1.008,8.72,10848,2306,99,4410,,17,3734,,,
9116,28.642,-94.917,,Gulf Coast,Chambers,Chambers Co. # 10,Conventional Hydrocarbon,,1955-07-27,Morenet Olegesn,Unknown,5765,5772,,1.081,7.45,117532,197.82,3020,71752.46,,654.01,41908.21,,,
9177,30.276,-94.485,,Gulf Coast,Hardin,Meshane #1,Conventional Hydrocarbon,,1955-07-27,Ceratobulimina First,Unknown,,,,1.052,7.55,75295,1091.98,1020,44976.16,,228.28,27978.99,,,
9178,30.293,-94.525,,Gulf Coast,Hardin,Fee #1,Conventional Hydrocarbon,,1955-07-27,Ey-2,Unknown,,,,1.127,7.08,182137,350.5,3240,110668.02,,617.6,67099.33,,,
9209,28.36,-95.009,,Gulf Coast,Galveston,Maco Stewart A #19,Conventional Hydrocarbon,,1955-07-27,Big Gas,Unknown,,,,1.05,6.9,70084,279.3,1260,42535.5,,357,25477.2,6.3,,
3660,29.9143,-95.602,4.2201E+13,Gulf Coast,Harris,Mary A. Fraser #1,Conventional Hydrocarbon,,1955-07-26,Y2,Unknown,,,7945,1.041,7.51,56043,680.81,624.6,33496.26,,127,20940.76,15.62,,
4129,28.1277,-96.9906,4.2007E+13,Gulf Coast,Aransas,Aransas State #67-1,Conventional Hydrocarbon,,1955-07-26,9300 Sand,Unknown,9400,,9000,1.014,8.14,23528,1569.67,42.59,12745.98,,50.7,8856.28,192.66,,
7050,28.791,-95.546,,Gulf Coast,Harris,Edgar H. Mietzen #1,Conventional Hydrocarbon,,1955-07-26,Y2,Unknown,,,,1.059,7.9,84758,491.38,1270,51160.29,,231.92,31330.52,18,,
7117,28.611,-94.327,,Gulf Coast,Chambers,Sun Fee Unit #1-c,Conventional Hydrocarbon,,1955-07-26,Discorbis,Unknown,,,,1.089,6.75,126137,139.39,5419,77414.83,,984.46,42179.15,,,
9122,28.611,-94.327,,Gulf Coast,Chambers,Fyrrell # 2 - T,Conventional Hydrocarbon,,1955-07-26,Nodosaria Upper,Unknown,,,,1.092,6.15,126479,159.43,6799,77702.35,,935.84,40882.3,,,
1977,31.057,-102.3955,4.2371E+13,Permian,Pecos,John W. Scott #1,Conventional Hydrocarbon,,1955-07-25,Clear Fork,Unknown,2614,2661,3152,1.049,7.6,68488,700.73,1636,36631.08,,316.8,23959.16,5243.95,<MDL,
1324,32.1827,-102.7598,4.2003E+13,Permian,Andrews,Univ. 11 (sec. 1) d #4,Conventional Hydrocarbon,,1955-07-24,Ellenburger,Unknown,8780,8817,8950,1.0298,7.8,42077,1230,1730,22500,,522,13351,2744,<PQL,
4698,33.292,-95.396,,East Texas,Hopkins,J. E. Worsham #5,Conventional Hydrocarbon,,1955-07-23,Paluxy,Unknown,4456,4461,,1.0122,7.5,13831,690,342,6000,,55,4631,2113,<MDL,
10867,33.292,-95.396,,East Texas,Hopkins,Jeff Worsham #1,Conventional Hydrocarbon,,1955-07-23,Paluxy,Unknown,4497,4537,,1.012,7.4,14363,581,374,6200,,49,4804,2355,<MDL,
1334,32.1558,-102.7465,4.2003E+13,Permian,Andrews,Univ. 11 (sec. 13) b-1,Conventional Hydrocarbon,,1955-07-22,San Andres,Unknown,,,4367,1.036,7.8,47441,599,1120,27360,,1280,15153,1929,<MDL,
1335,32.1731,-102.752,4.2003E+13,Permian,Andrews,,Conventional Hydrocarbon,,1955-07-22,San Andres,Unknown,,,4380,1.059,8.2,80340,1008,2370,45120,,1532,26008,4302,<MDL,
7288,27.997,-96.341,,Gulf Coast,Jackson,Neisslie Unit # 1,Conventional Hydrocarbon,,1955-07-22,Payne D 2,Unknown,,,,1.004,8.4,6089,756.01,62.25,3045.13,,53.21,2124.46,,,
11747,26.981,-98.079,,Gulf Coast,Jim Wells,P. Canales #36-c,Conventional Hydrocarbon,,1955-07-22,Zone 14 B,Unknown,5963,5968,,1.0223,6.95,32822,108.36,1942,19980.85,,43.96,10703.48,43.96,,
3197,32.1674,-102.7592,4.2003E+13,Permian,Andrews,Univ. 11 #2,Conventional Hydrocarbon,,1955-07-21,San Andres,Unknown,,,4375,1.062,7.9,85572,729,2500,47280,,996,28235,3937,<MDL,
10839,33.292,-95.396,,East Texas,Hopkins,J. E. Worsham #24,Conventional Hydrocarbon,,1955-07-21,Paluxy,Unknown,,,,,2.8,153687,,780,92400,,28,60133,2506,<MDL,
11100,28.4211,-98.65,4.2311E+13,Gulf Coast,Mc Mullen,1 J. C. Dilworth,Conventional Hydrocarbon,,1955-07-19,Unknown,Unknown,11752,11915,11915,,6.4,143827,988,9492,79600,,517,40433,800,553,
11998,33.001,-102.837,,Permian,Yoakum,N. S. Knight Bait #1,Conventional Hydrocarbon,,1955-07-19,San Andres,Unknown,,,,1.14,6.9,214605,453,3540,129600,,2642,76179,2191,<MDL,
3196,32.1674,-102.7592,4.2003E+13,Permian,Andrews,Univ. 11 #2,Conventional Hydrocarbon,,1955-07-18,San Andres,Unknown,4250,4375,4375,1.065,7.1,90422,1066,2668,51120,,758,30874,3936,<PQL,
1085,31.2524,-101.0939,4.2235E+13,Permian,Irion,Ila Sugg #1,Conventional Hydrocarbon,,1955-07-17,Ellenburger,Unknown,8990,9020,4520,1.041,7.06,53830,668.32,1915,31005.14,,353.94,17837.47,1457.4,,
4271,32.08416,-99.41873,4.2059E+13,Bend Arch,Callahan,Bessie L. Hall #1,Conventional Hydrocarbon,,1955-07-17,Cross Cut,Unknown,2397,2402,4210,1.0894,5.67,131602,18.52,10616,81764.92,,1931.51,37212.81,58.83,,
9204,28.399,-94.552,,Gulf Coast,Galveston,Zinn & Forman #1,Conventional Hydrocarbon,,1955-07-15,Block 11 9,Unknown,,,,1.127,5.08,177321,92.41,17040,109898.28,,1644.29,48645.83,,,
19177,31.6534,-102.8952,4.2495E+13,Permian,Winkler,Sealy-smith Fdn 36,Conventional Hydrocarbon,,1955-07-15,Clear Fork,Unknown,4760,4954,4976,,,146167,366,6362,87780,,1222,48420,2017,,
4270,32.08416,-99.41873,4.2059E+13,Bend Arch,Callahan,Bessie L. Hall #1,Conventional Hydrocarbon,,1955-07-14,Ellenburger,Unknown,4141,4210,4210,1.0512,6.38,77980,390,2214,46899.29,,491.96,27498.34,485.65,,
7116,28.571,-94.412,,Gulf Coast,Chambers,H. O. Acom #6,Conventional Hydrocarbon,,1955-07-13,Seabreeze 1,Unknown,,,,1.062,7.5,90817,743.4,2400,54948.94,,491.71,32233.82,,,
7120,28.662,-94.368,,Gulf Coast,Chambers,Fyrell Trust #3,Conventional Hydrocarbon,,1955-07-13,Marginulina 7,Unknown,,,,1.07,7.12,102405,759.7,2400,61950.86,,467.59,36827.26,,,
7121,28.662,-94.368,,Gulf Coast,Chambers,Ahrens-kohls Unit #2 - Well #2,Conventional Hydrocarbon,,1955-07-13,Huckberry Lower,Unknown,,,,1.054,6,75222,159.15,5780,46202.09,,347.82,22733.73,,,
9123,28.526,-94.443,,Gulf Coast,Chambers,Tate # 1,Conventional Hydrocarbon,,1955-07-13,Seabreeze A 1 Upper,Unknown,,,,1.095,7.12,136628,261.71,2659,83470.76,,1062.15,49174.26,,,
9205,28.399,-94.552,,Gulf Coast,Galveston,Zinn & Forman #7,Conventional Hydrocarbon,,1955-07-13,Block 11 6,Unknown,,,,1.133,4.4,194681,<MDL,19759,121028.19,,2159.5,51733.91,,,
9206,28.399,-94.552,,Gulf Coast,Galveston,State 27 #2,Conventional Hydrocarbon,,1955-07-13,Block V 2 3 4,Unknown,,,,1.086,7.32,120530,55.39,3079,73848,,936.13,42611.38,,,
11999,33.001,-102.837,,Permian,Yoakum,Dowell Batt #1,Conventional Hydrocarbon,,1955-07-13,San Andres,Unknown,,,,1.112,5,172681,30,3720,103200,,1245,61629,2357,<MDL,
12000,33.001,-102.837,,Permian,Yoakum,Smart Batt #2,Conventional Hydrocarbon,,1955-07-13,San Andres,Unknown,,,,1.112,7.5,171729,347,3760,101600,,640,62603,3279,<MDL,
12001,33.001,-102.837,,Permian,Yoakum,Johnson Batt #1,Conventional Hydrocarbon,,1955-07-13,San Andres,Unknown,,,,1.168,4.1,255622,8,9400,156000,,5135,84262,2817,<MDL,
12002,33.001,-102.837,,Permian,Yoakum,Ruth Bennet B Batt #1,Conventional Hydrocarbon,,1955-07-13,San Andres,Unknown,,,,1.1258,6.8,191018,68,3700,114600,,2436,66982,3232,<MDL,
12003,33.001,-102.837,,Permian,Yoakum,Bennet A Batt #1,Conventional Hydrocarbon,,1955-07-13,San Andres,Unknown,,,,1.098,2.9,133028,<MDL,9810,78600,,293,40777,3548,<MDL,
12056,31.923,-102.746,,Permian,Ector,Mc Bee #1,Conventional Hydrocarbon,,1955-07-12,Ellenburger,Unknown,14194,14300,,1.092,7,131979,169,7330,79600,,1158,43872,776,<MDL,
12093,32.463,-101.316,,Permian,Howard,Barr #1,Conventional Hydrocarbon,,1955-07-12,Palo Pinto Pennsylvanian,Unknown,,,,1.083,6.7,183262,258,4520,110600,,690,65918,1276,<MDL,
3326,33.0052,-102.2037,4.2445E+13,Permian,Terry,Ah Herring Etal No. 1,Conventional Hydrocarbon,,1955-07-11,Pennsylvanian La,Unknown,9446,,11694,1.1688,6.6,227589,108,9400,147600,,5419,74753.9,232,<MDL,
3328,32.9757,-102.1996,4.2445E+13,Permian,Terry,Lucille Morley #1,Conventional Hydrocarbon,,1955-07-11,Fusselman Silurian,Unknown,11540,,11591,1.04,7.3,52581,853,2210,29880,,321,17429,1888,<MDL,
3329,32.9758,-102.1953,4.2445E+13,Permian,Terry,J. P. Mystal #1-a,Conventional Hydrocarbon,,1955-07-11,Fusselman Silurian,Unknown,11450,,12094,1.033,7.4,51868,862,2220,29220,,271,17187,2109,<MDL,
3330,32.9794,-102.1996,4.2445E+13,Permian,Terry,E. A. Tapp #1,Conventional Hydrocarbon,,1955-07-11,Fusselman Silurian,Unknown,11504,,11600,1.041,7.4,52614,876,2110,29980,,448,17403,1797,<MDL,
7118,28.611,-94.327,,Gulf Coast,Chambers,Johns Unit #2 Well #1,Conventional Hydrocarbon,,1955-07-11,Crauford,Unknown,,,,1.074,7.3,104744,126.73,2760,64050.14,,689.51,37117.44,,,
7119,28.611,-94.327,,Gulf Coast,Chambers,Johns Unit #1 Well #1,Conventional Hydrocarbon,,1955-07-11,Stewart,Unknown,,,,1.072,7.3,102294,165.09,2419,62472.94,,635.7,36601.3,,,
5052,33.001,-102.837,,Permian,Yoakum,Moore Batt #1,Conventional Hydrocarbon,,1955-07-10,San Andres,Unknown,,,,1.138,6.5,214051,514,3250,127200,,1012,78632,3443,<MDL,
17841,27.901,-97.418,,Gulf Coast,San Patricio,W E Kirk No 9,Conventional Hydrocarbon,,1955-07-04,Frio Sand,Unknown,5016,8008,,1.062,6.87,84360,239,3170,51400,,370,29100,<PQL,,
1084,31.2524,-101.0939,4.2235E+13,Permian,Irion,Sammie Suggs #1,Conventional Hydrocarbon,,1955-07-03,Willburn Lower Cambrian,Unknown,7326,7394,4520,1.048,7.09,64859,608.89,2054,37808.7,,457.98,21837.9,1451.48,,
2017,30.9006,-100.9657,4.2413E+13,Permian,Schleicher,Baugh #1,Conventional Hydrocarbon,,1955-07-03,Strawn Reef,Unknown,5860,5880,6015,1.046,7.3,60138,475,2330,37080,,452,18839,964,<MDL,
12069,32.913,-102.152,,Permian,Dawson,D. D. Lattimore #1,Conventional Hydrocarbon,,1955-07-01,San Andres Parmian,Unknown,4916,,,1.059,7.5,80496,682,3830,46920,,1501,24749,2816,<MDL,
12076,32.303,-102.585,,Permian,Andrews,J. E. Parker J #1,Conventional Hydrocarbon,,1955-07-01,Pennsylvanian Pennsylvani,Unknown,9102,9130,,1.0898,6.7,123992,217,6360,75600,,1189,39102,1524,<MDL,
12092,32.488,-101.191,,Permian,Howard,Boyd 4 #5,Conventional Hydrocarbon,,1955-07-01,Glorieta,Unknown,2737,,,1.067,7.5,91988,677,3230,53520,,91.41,30508,2941,<PQL,
12094,32.488,-101.191,,Permian,Howard,Boyd A #3,Conventional Hydrocarbon,,1955-07-01,Glorieta Permian,Unknown,2840,,,1.071,7.6,74190,539,3360,42720,,1184,23251,3136,<MDL,
12096,32.463,-101.316,,Permian,Howard,R. T. Shafer #2,Conventional Hydrocarbon,,1955-07-01,Canyon Pennsylvanian,Unknown,7561,,,1.074,6.9,101235,280,3500,60480,,645,34996,1534,<MDL,
12097,32.467,-101.239,,Permian,Howard,Jones B #1,Conventional Hydrocarbon,,1955-07-01,Canyon Lower Pennsylvania,Unknown,,,,1.069,7.3,93628,662,3400,54360,,1235,30749,3222,<MDL,
12314,32.488,-101.191,,Permian,Howard,J. T. Brokhage B #1,Conventional Hydrocarbon,,1955-07-01,Glorieta Permian,Unknown,2860,,,1.064,7.4,90206,848,3170,52320,,1106,29859,2903,<MDL,
13113,32.371,-102.722,,Permian,Andrews,Nola Fisher D No 1,Conventional Hydrocarbon,,1955-07-01,San Andres,Unknown,4500,,,1.035,7.8,42902,1106.42,1987,23598,12213,1307.21,,2691,<PQL,X
3297,32.8265,-102.0049,4.2165E+13,Permian,Gaines,Northrup #1,Conventional Hydrocarbon,,1955-06-30,Devonian,Unknown,,,11350,1.0234,7.6,32141,971,1690,17160,,388,9825,2127,<MDL,
3889,32.4504,-94.0522,4.2203E+13,East Texas,Harrison,Huffman Gas Unit #1,Conventional Hydrocarbon,,1955-06-29,Rodessa,Unknown,,,2409,1.0028,4.7,2193,70,475,1296,,18,129,8,<MDL,
11813,27.325,-98.621,,Gulf Coast,Duval,L. Wiederkehr #43,Conventional Hydrocarbon,,1955-06-29,Cole,Unknown,2200,,,1.0088,7.5,17610,290.53,158.38,10451.17,,18.16,6678.26,14.12,,
1803,31.9055,-103.1517,4.2495E+13,Permian,Winkler,Lum Daugherty No. 8,Conventional Hydrocarbon,,1955-06-28,Yates,Unknown,2750,,2991,1.0817,7.04,117110,193.62,1046,65248.14,,6340.93,34073.55,10208,,
1822,31.9536,-103.1985,4.2495E+13,Permian,Winkler,Lum Daugherty No. 1,Conventional Hydrocarbon,,1955-06-28,Yates,Unknown,2750,,3242,1.0726,7.13,106678,253.13,1404,60762.79,,4872.82,32135.1,7250.78,,
1854,31.9078,-103.1503,4.2495E+13,Permian,Winkler,Lum Daugherty No. 4,Conventional Hydrocarbon,,1955-06-28,Yates,Unknown,2750,,3013,1.0384,7.61,56352,531.66,393.55,27730.47,,3164,15882.33,8650.91,,
3299,31.8166,-102.5494,4.21351E+13,Permian,Ector,Cowden No. 3,Conventional Hydrocarbon,,1955-06-27,San Andres,Unknown,3883,4277,4277,1.039,5.9,53167,233,790,30240,,2128,16348,3428,<MDL,
13238,32.89,-102.897,,Permian,Gaines,"Swdw #1, N & J",Conventional Hydrocarbon,,1955-06-17,Unknown,Unknown,1696,1897,,1.0055,7.5,8846,426,191,2670,,84,2747,2580,,
12951,31.795,-102.254,,Permian,Midland,Midland Fee No 1-x,Conventional Hydrocarbon,,1955-06-16,Penn. (bend),Pennsylvanian,10584,10651,,1.05,7,66218,383.25,3066,39060,22026.9,842.1,,840,<MDL,X
7074,32.048,-94.918,,East Texas,Rusk,W. F. Arnold #1,Conventional Hydrocarbon,,1955-06-15,Woodbine,Unknown,,,,1.033,8.02,45145,619.8,867.72,26554.3,,200.4,16178.85,459.69,,
1415,32.019,-102.5423,4.2135E+13,Permian,Ector,Blakeney B No. 3,Conventional Hydrocarbon,,1955-06-14,San Andres,Unknown,5105,5148,5148,1.038,,53345,326,2650,30000,,752,16555,5082,<MDL,
3325,32.3091,-100.7154,4.2335E+13,Permian,Mitchell,B.c. Small #1,Conventional Hydrocarbon,,1955-06-14,Mississippian,Unknown,,,7621,1.035,7.2,48998,895,970,27360,,437,17152,2184,<MDL,
12030,32.023,-102.533,,Permian,Ector,O. B. Holt #31,Conventional Hydrocarbon,,1955-06-14,Grayburg,Unknown,,,,1.04,8.2,56526,421,1400,28800,,513,19158,6254,<MDL,
3353,32.694,-102.7319,4.2165E+13,Permian,Gaines,Riley Estate #2,Conventional Hydrocarbon,,1955-06-12,Unknown,Unknown,10406,10460,11694,1.023,7.3,32135,1272,1150,16800,,345,9854,2214,<PQL,
11797,32.465,-102.572,,Permian,Andrews,J. S. Means G 3,Conventional Hydrocarbon,,1955-06-12,San Andres,Unknown,4933,4973,,1.0217,6.8,32237,1062.57,1386,15831.24,,422.98,9976.9,3557.56,,
3327,33.1516,-102.4415,4.2445E+13,Permian,Terry,L.d. Spradling #1,Conventional Hydrocarbon,,1955-06-10,Fusselman,Unknown,,,12802,1.034,7,47583,817,2090,27000,,336,15594,1756,<MDL,
10562,27.659,-97.167,,Gulf Coast,Refugio,J. J. O'brien B-4 East Side Swd,Conventional Hydrocarbon,,1955-06-09,Greta,Unknown,,,,1.051,7,67471,139,2230,41160,,408,23438,81,<MDL,
11969,27.561,-98.217,,Gulf Coast,Live Oak,T. J. Lyne #5,Conventional Hydrocarbon,,1955-06-08,Hockley B,Unknown,2633,2642,,1.0242,8.4,35534,814,440,20940,,146,13136,58,<MDL,
1914,32.7453,-101.0053,4.2415E+13,Permian,Scurry,Sacroc Unit 168-3,Conventional Hydrocarbon,,1955-06-07,Canyon Reef,Unknown,,,6900,1.0514,6.55,77063,295.44,2946,46082.86,,839.02,25629.98,1375.23,,
1920,32.7245,-101.0572,4.2415E+13,Permian,Scurry,Sacroc 251-5,Conventional Hydrocarbon,,1955-06-07,Canyon Reef,Unknown,,,6842,1.0036,7.21,8020,452.62,472.7,4587.46,,116.42,2385.56,6.02,,
840,31.9066,-103.1476,4.2495E+13,Permian,Winkler,Lum Daugherty #5,Conventional Hydrocarbon,,1955-06-05,Yates,Unknown,2750,,2980,1.0784,7.19,110263,194.11,1845,64229.5,,7101.26,29650.61,7242.53,,
17836,27.901,-97.418,,Gulf Coast,San Patricio,W F Kirk No 7,Conventional Hydrocarbon,,1955-06-05,Heterostegina E2 Sand,Unknown,4921,4923,,1.06,6.64,81107,184,2790,49500,,487,28100,46,,
17835,27.901,-97.418,,Gulf Coast,San Patricio,W E Kirk No 7,Conventional Hydrocarbon,,1955-06-04,Heterostegina E2 Sand,Unknown,4921,4923,,1.041,7.11,55867,268,1580,33600,,422,19500,464,,
2028,31.4456,-102.4535,4.2103E+13,Permian,Crane,Block 31 F-2-c,Conventional Hydrocarbon,,1955-06-03,Devonian,Unknown,7940,8425,10446,1.057,7.7,81162,407,3570,48000,,752,26605,1830,<PQL,
703,32.7212,-101.0493,4.2415E+13,Permian,Scurry,Sacroc Unit 255-1,Conventional Hydrocarbon,,1955-06-02,Canyon Reef,Unknown,,,6804,1.0404,6.45,61597,290.27,4444,36700.11,,788.62,18891.58,482.75,,
787,32.7101,-101.0786,4.2415E+13,Permian,Scurry,Sacroc Unit 307-2,Conventional Hydrocarbon,,1955-06-02,Canyon Reef,Unknown,,,6909,1.0783,6.28,117035,139.1,7099,72213.75,,1643.33,35976.4,610.32,,
793,32.7133,-101.0829,4.2415E+13,Permian,Scurry,Sacroc Unit 307-3,Conventional Hydrocarbon,,1955-06-02,Canyon Reef,Unknown,,,6900,1.0547,6.19,79913,223.6,2623,47714.63,,965.05,27241.85,1356.34,,
3293,32.731,-102.3794,4.2165E+13,Permian,Gaines,Ida Dalmont #1,Conventional Hydrocarbon,,1955-06-02,Strawn  Pennsylvanian,Unknown,,,14110,1.13,6,190478,233,7500,116400,,1748,63953,644,<MDL,
15722,32.7194,-101.0497,4.2415E+13,Permian,Scurry,Sacroc Unit 255-1,Conventional Hydrocarbon,1960-06-24,1955-06-02,Canyon Reef,Unknown,,,6804,,1.0404,61574,279,4272,35275,,758,18158,464,,
4628,33.292,-95.396,,East Texas,Hopkins,J. E. Warsham #9 121,Conventional Hydrocarbon,,1955-06-01,Paluxy,Unknown,4550,4565,,1.011,7.9,14616,524,394,6500,,77,4859,2262,<MDL,
10412,33.292,-95.396,,East Texas,Hopkins,J. E. Worsham #3,Conventional Hydrocarbon,,1955-06-01,Paluxy,Unknown,4476,4514,,1.007,7.6,12133,664,260,5500,,54,4135,1530,<MDL,
10895,33.292,-95.396,,East Texas,Hopkins,S. B. Pierce #1,Conventional Hydrocarbon,,1955-06-01,Paluxy,Unknown,4467,4470,,1.011,7.6,13906,629,370,6080,,74,4607,2146,<MDL,
10902,33.292,-95.396,,East Texas,Hopkins,S. B. Pierce #1,Conventional Hydrocarbon,,1955-06-01,Paluxy,Unknown,4467,4470,,1.0081,7.9,11337,364,189,5400,,56,3952,1376,<MDL,
11490,26.246,-98.627,,Gulf Coast,Starr,M. M. Garcia B No. 8,Conventional Hydrocarbon,,1955-06-01,Solis Vi Upper,Unknown,4000,4005,,1.0123,7.56,22536,161.97,222.71,13559.76,,28.34,8548.87,15.18,,
3201,32.191,-102.5496,4.2003E+13,Permian,Andrews,Blk 9 G #1,Conventional Hydrocarbon,,1955-05-31,Wolfcamp,Unknown,8514,8524,10721,1.113,6.3,169449,120,10100,103000,,983,53567,1279,<MDL,
3292,32.731,-102.3794,4.2165E+13,Permian,Gaines,Tdz Dalment #1,Conventional Hydrocarbon,,1955-05-29,Ellenburger,Unknown,,,14110,1.077,6.2,109051,325,3730,65400,,789,37406,6401,<MDL,
11574,32.437,-99.287,,Bend Arch,Callahan,R. D. Williams #11,Conventional Hydrocarbon,,1955-05-27,Moran,Unknown,2509,2547,,1.0823,6.15,121017,71.43,9510,74770.7,,1642.93,34666.07,356.08,,
3203,32.191,-102.5496,4.2003E+13,Permian,Andrews,Blk 9 G #1,Conventional Hydrocarbon,,1955-05-26,Devonian,Unknown,10654,10721,10721,1.025,7.5,37880,1032,1500,20400,,175,12580,3193,<PQL,
11776,32.006,-100.776,,Permian,Coke,E. E. Stagner #3,Conventional Hydrocarbon,,1955-05-26,Strawn,Unknown,6400,,,1.1213,5.74,176166,40.37,12053,108878.23,,1840.05,53315.57,38.12,,
1804,31.9055,-103.1517,4.2495E+13,Permian,Winkler,Lum Daugherty No. 8,Conventional Hydrocarbon,,1955-05-23,Yates,Unknown,,,2991,1.0827,6.88,118896,180.81,1058,66266.65,,6371.69,34705.95,10312.72,,
1823,31.9536,-103.1985,4.2495E+13,Permian,Winkler,Lum Daugherty No. 1,Conventional Hydrocarbon,,1955-05-23,Yates,Unknown,2750,,3242,1.0757,7.07,107365,217.29,1440,61374.06,,5309.66,31690.12,7334.12,,
1855,31.9078,-103.1503,4.2495E+13,Permian,Winkler,Lum Daugherty No. 4,Conventional Hydrocarbon,,1955-05-23,Yates,Unknown,,,3013,1.0392,7.37,55711,977.89,389.7,27117.92,,3150.85,15598.39,8476.75,,
826,33.1666,-103.0527,4.2501E+13,Permian,Yoakum,R.a. Cox #1,Conventional Hydrocarbon,,1955-05-22,Devonian,Unknown,11965,12011,3796,1.0375,7.18,56076,190.9,2091,32427.06,,393.21,18929.19,2044.91,,
10917,27.561,-98.217,,Gulf Coast,Live Oak,T. J. Lyne #3,Conventional Hydrocarbon,,1955-05-20,Hockley B,Unknown,2728,2734,,1.028,8.3,39800,872,460,23500,,177,15000,55,<MDL,
